order_id;total_qty;total_weight_gr;total_returned_qty;Total Diskon;product_categories;num_product_categories;Status Pesanan;Alasan Pembatalan;Opsi Pengiriman;Metode Pembayaran;Kota/Kabupaten;Provinsi;Ongkos Kirim Dibayar oleh Pembeli;Estimasi Potongan Biaya Pengiriman;Total Pembayaran;Perkiraan Ongkos Kirim;Waktu Pesanan Dibuat;source_file
ORD_0000001;2;2000;0;0;Celengan;1;Selesai;;Reguler (Cashless)-SPX Standard;Saldo ShopeePay;KOTA SERANG;BANTEN;0;10000;38300;10000;2024-04-01 00:15;AprilSales2024.xlsx
ORD_0000002;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KOTA SEMARANG;JAWA TENGAH;0;14500;18576;14500;2024-04-01 01:47;AprilSales2024.xlsx
ORD_0000003;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;SeaBank Bayar Instan;KAB. BOGOR;JAWA BARAT;0;8000;7069;8000;2024-04-01 04:25;AprilSales2024.xlsx
ORD_0000004;2;400;0;0;Mangkok Sambal / Saus;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KOTA JAMBI;JAMBI;0;20000;32200;20000;2024-04-01 04:41;AprilSales2024.xlsx
ORD_0000005;3;3600;0;0;Keranjang, Other, Tempat Nasi;3;Batal;Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KOTA TANGERANG;BANTEN;0;0;0;8000;2024-04-01 06:12;AprilSales2024.xlsx
ORD_0000006;2;1000;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;SPayLater;KAB. BANDUNG;JAWA BARAT;0;10000;40996;10000;2024-04-01 07:09;AprilSales2024.xlsx
ORD_0000007;1;1700;0;0;Nampan / Tray;1;Batal;Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada;Hemat Kargo-SPX Hemat;SPayLater;KOTA TANGERANG;BANTEN;0;0;0;16000;2024-04-01 07:23;AprilSales2024.xlsx
ORD_0000008;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;Online Payment;KAB. BOGOR;JAWA BARAT;0;8000;18280;8000;2024-04-01 07:33;AprilSales2024.xlsx
ORD_0000009;1;500;0;0;Celengan;1;Batal;Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada;Hemat Kargo-J&T Economy;Online Payment;KAB. GARUT;JAWA BARAT;0;0;0;16500;2024-04-01 07:56;AprilSales2024.xlsx
ORD_0000010;6;12900;0;0;Aksesoris Mandi, Celengan, Keranjang;3;Selesai;;Hemat Kargo-SPX Hemat;Online Payment;KAB. TEGAL;JAWA TENGAH;13000;20000;92800;33000;2024-04-01 08:27;AprilSales2024.xlsx
ORD_0000011;2;1000;0;0;Celengan;1;Batal;Dibatalkan oleh Pembeli. Alasan: Lainnya/ berubah pikiran;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. SIAK;RIAU;0;0;0;53000;2024-04-01 09:02;AprilSales2024.xlsx
ORD_0000012;1;500;0;0;Celengan;1;Batal;Dibatalkan oleh Pembeli. Alasan: Lainnya/ berubah pikiran;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. SUKABUMI;JAWA BARAT;0;0;0;12000;2024-04-01 10:24;AprilSales2024.xlsx
ORD_0000013;1;1200;0;0;Toples / Sealware;1;Selesai;;Reguler (Cashless)-SPX Standard;COD (Bayar di Tempat);KAB. PANDEGLANG;BANTEN;0;16000;32200;16000;2024-04-01 10:26;AprilSales2024.xlsx
ORD_0000014;2;400;0;0;Mangkok Sambal / Saus;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KOTA BEKASI;JAWA BARAT;0;8000;30000;8000;2024-04-01 10:54;AprilSales2024.xlsx
ORD_0000015;5;1000;0;0;Mangkok Sambal / Saus;1;Batal;Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. KARANGANYAR;JAWA TENGAH;0;0;0;22000;2024-04-01 12:36;AprilSales2024.xlsx
ORD_0000016;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;Saldo ShopeePay;KAB. BEKASI;JAWA BARAT;0;8000;24000;8000;2024-04-01 12:41;AprilSales2024.xlsx
ORD_0000017;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;Saldo ShopeePay;KOTA DEPOK;JAWA BARAT;0;8000;20800;8000;2024-04-01 12:44;AprilSales2024.xlsx
ORD_0000018;1;7000;0;0;Other;1;Selesai;;Instant (Versi Lama)-SPX Instant (Versi Lama);Saldo ShopeePay;KOTA TANGERANG;BANTEN;23000;20000;124000;43000;2024-04-01 12:51;AprilSales2024.xlsx
ORD_0000019;2;1200;0;0;Celengan, Peralatan Kamar Mandi;2;Selesai;;Agen SPX Express;COD (Bayar di Tempat);KAB. LAMPUNG UTARA;LAMPUNG;3000;20000;35112;23000;2024-04-01 13:07;AprilSales2024.xlsx
ORD_0000020;2;800;0;0;Nampan / Tray;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. TANGERANG;BANTEN;0;8000;14187;8000;2024-04-01 13:46;AprilSales2024.xlsx
ORD_0000021;5;2000;0;0;Mangkok Sambal / Saus;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. SUBANG;JAWA BARAT;0;15000;79000;15000;2024-04-01 13:51;AprilSales2024.xlsx
